,Factor1
TCGA-CM-6679-01,-0.3183481803255633
TCGA-HV-A5A4-01,-0.8551609256142306
TCGA-DC-6157-01,-0.032042625901444306
TCGA-NQ-A638-01,-2.9525311215276
TCGA-VS-A9UU-01,-2.6582839411258785
TCGA-75-7027-01,2.190972959628558
TCGA-V1-A8WS-01,-2.9649343018650836
TCGA-CE-A3MD-01,-2.9428392539119756
TCGA-HU-A4GD-01,-0.3548392076336819
TCGA-VQ-A94U-01,-0.05122883264188086
TCGA-LK-A4O0-01,-3.4561709218932606
TCGA-XD-AAUG-01,-3.040127156520931
TCGA-FV-A4ZP-01,-0.728558691084918
TCGA-KN-8435-01,-3.2561918601844204
TCGA-A6-4105-01,1.9069105696617077
TCGA-P5-A77X-01,-3.154834063302703
TCGA-NC-A5HI-01,7.294790996209617
TCGA-ZJ-AAXN-01,-2.7312190507351564
TCGA-CV-6937-01,0.6378472853011254
TCGA-AJ-A3QS-01,3.7589646105795995
TCGA-DD-AACS-01,-2.2576759319189743
TCGA-VS-A9U6-01,2.7959028795270777
TCGA-IQ-7631-01,-2.661821624628904
TCGA-L5-A4OI-01,21.0293200120779
TCGA-DK-AA6S-01,5.105006932885483
TCGA-V1-A9Z8-01,-2.800939751221245
TCGA-DD-A4NK-01,-0.8986724346119735
TCGA-3S-A8YW-01,-1.957448356516737
TCGA-VQ-A8PJ-01,2.522084256806306
TCGA-KQ-A41S-01,2.0504489222255375
TCGA-44-2668-01,7.714632641459366
TCGA-55-8507-01,18.663298623388577
TCGA-DJ-A3UN-01,-3.3869082808926256
TCGA-C5-A2LX-01,1.53918931095578
TCGA-CR-6471-01,-0.49450304435670495
TCGA-VM-A8CA-01,-3.059888064918738
TCGA-EW-A6SC-01,-3.031112601926178
TCGA-B0-5699-01,-2.8027536563641555
TCGA-XQ-A8TB-01,-3.4561709218932606
TCGA-37-5819-01,14.543143418164002
TCGA-DU-7015-01,-2.026099363721096
TCGA-MQ-A4LJ-01,-3.0891785600555948
TCGA-C5-A1M8-01,-1.598308682707472
TCGA-C5-A7CJ-01,-1.9656544916279906
TCGA-22-A5C4-01,5.077960072441166
TCGA-HB-A2OT-01,-1.5014745073179658
TCGA-85-A4CL-01,10.158733288387499
TCGA-TM-A7C5-01,-3.163678436021345
TCGA-DX-A3UB-01,-3.2828780765019374
TCGA-BP-4801-01,-0.9589972837220624
TCGA-D8-A1XC-01,-2.1863252670671516
TCGA-DU-8162-01,-2.8164670161931777
TCGA-TM-A84O-01,-3.0282751079599404
TCGA-06-5410-01,-2.440343508374872
TCGA-DC-6158-01,-0.3450847075203081
TCGA-69-8254-01,-1.9615167452146316
TCGA-3T-AA9L-01,-3.4561709218932606
TCGA-HC-A6HY-01,0.04245930464535696
TCGA-EM-A3FM-01,-3.3869082808926256
TCGA-GH-A9DA-01,-0.1897038012463082
TCGA-TN-A7HL-01,7.450374870182966
TCGA-3B-A9HT-01,2.347159249055453
TCGA-CN-4742-01,-0.2600657652749167
TCGA-RD-A8N6-01,1.0003185090321245
