,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16
TCGA-L5-A4ON-01,-0.7705534986471111,8.182197934845341,-0.7829112370934489,3.652088007060815,-3.766838522828971,-0.1051366152312287,0.7767215658350469,-0.06593764616939757,0.6414547687445337,-0.6394996401742599,-0.6671345816683346,0.0661294942923075,-0.06568414855116135,-1.0329565758103891,0.41234655457164654,0.5058567529130654
TCGA-ZN-A9VU-01,-2.16888668871208,-0.9105294269920237,-1.4742699871523175,-0.5835045412419141,0.8496043909384544,-0.31671494162586766,-3.592608474465056,-0.46530066847009577,0.09938884039884621,2.783060073825338,-0.14146646729385637,0.29734342372329575,-0.015425147433798456,-0.5753512638685028,0.11830814442462737,0.04272703367619678
TCGA-Q3-A5QY-01,-2.1731441142349315,-0.898253373857677,-1.4366935310604587,-0.5871622814727301,0.895727174804407,-0.30408740362081116,0.43287756966456375,-0.4183964250274933,0.10337100618947341,-0.08232370177596343,-0.19569748999389133,0.2430307685037922,-0.053222651703154225,-0.4063281143832872,0.4218806425281433,0.31288992191500126
TCGA-AJ-A3BI-01,1.1830210503109888,5.858668646715847,-0.033239821390990534,3.2056124316965904,-3.6385238566096345,2.5453005912492332,-3.202682054171484,-0.1809962300448069,8.110214888112868,-3.7440451697753985,-0.8016383133751557,0.20181953295427488,-0.513331297459308,-1.032949966780652,-2.9074462694127563,3.7309690323025118
TCGA-W2-A7UY-01,-5.315468507475111,-3.4406568733598384,1.5730488662683857,-5.031405601517482,0.6598908594045753,0.39666720128968186,0.26844342705995206,0.0008054321816655836,-0.17809149634351062,-2.6107512164160336,-0.22335366294631043,0.11870893614453472,-0.3483197746314272,-2.1743769180805894,0.1828043182406042,-0.12660664700081095
TCGA-E3-A3E2-01,-2.1731441142349315,-0.898253373857677,-1.4366935310604587,-0.5871622814727301,0.895727174804407,-0.30408740362081116,0.43287756966456375,-0.4183964250274933,0.10337100618947341,-0.08232370177596343,-0.19569748999389133,0.2430307685037922,-0.053222651703154225,-0.4063281143832872,0.4218806425281433,0.31288992191500126
TCGA-FB-A545-01,-3.859269203308142,5.6132147063334985,2.1309829416774058,-0.7915694564693332,-4.0174666946992925,0.4729611304653604,0.6072877344539891,0.298741457013569,0.28027082292305705,2.567364788285969,-0.4185848024006548,-0.03353035450964741,-0.2739920969604649,-3.1480683949378037,0.1417057072756475,0.080183307834979
TCGA-G4-6320-01,1.6788261757221767,-1.4357514062881462,4.234927422302665,-2.0450257737489217,1.2311740565098679,5.718735832767277,4.553117724673197,-0.42105347446821106,-2.2921261128617076,-0.7301198974761633,-0.71166196700493,0.3762824323075801,-0.43905981321663984,-0.756041851667597,1.6686366422944856,-0.07935161646954594
TCGA-55-6982-01,0.6146921162755908,-3.0012475231412936,12.169534841861735,2.1306385649180433,-3.6724028418889265,-4.1477674176686845,-3.197222111841958,0.4406676911902145,0.7176425025457159,-0.5816103314381968,-0.9954792749628291,0.24900534847047137,-0.21164376597211196,4.366897532188018,0.3846885196934065,0.11846341323123502
TCGA-RC-A7SH-01,2.0297268320050006,-2.048216826838041,4.413676537905977,2.6980371408816843,-3.562090208910993,1.2149514748091128,-3.17827312413405,-0.6201548398051796,-0.3717886275902304,-0.8491574139966044,-1.014362834491013,0.3020324593494482,-0.7339936830357087,-0.9915414974299613,0.7803927987184052,-0.21378092964998
TCGA-CC-A3MA-01,1.9725799356703106,0.22709312335191253,5.249138636906951,7.410728091437568,1.2849769899540469,-3.164309653363616,4.401915918895746,5.908584030742393,-9.438028615801052,-0.6837310907977578,2.23356428544755,0.33744176719010033,2.412768834965176,-1.680664983536282,-6.720189648562394,-4.599313455195155
TCGA-RC-A7SB-01,-2.2291567421002774,-0.8493617579730258,-1.4958376233904975,-0.5702158897518447,-3.8843068010339796,-0.14525792260353784,0.6596422380084562,-0.48891924659023395,0.5179306305295259,5.513678439071059,-0.4213294035183902,0.09237581584580071,0.02962899572705677,-0.8227136803534744,0.3180226657375648,0.10326459977290514
TCGA-CM-6164-01,-2.105743653449291,6.633492377685033,-4.407657593433148,-5.238542857611083,5.693024342037897,0.7853519620302772,4.1518266381113085,6.702184893810415,0.29088980196754516,2.8593190649474356,0.13582211686168918,0.30307563884973354,0.8455806013352533,1.9402240125716606,0.696929460988514,0.5745527150237725
TCGA-ET-A3BW-01,-2.1731441142349315,-0.898253373857677,-1.4366935310604587,-0.5871622814727301,0.895727174804407,-0.30408740362081116,0.43287756966456375,-0.4183964250274933,0.10337100618947341,-0.08232370177596343,-0.19569748999389133,0.2430307685037922,-0.053222651703154225,-0.4063281143832872,0.4218806425281433,0.31288992191500126
TCGA-E2-A2P6-01,-1.885884618099989,-0.8504231768186844,-1.1432658889153586,4.141617261414928,0.8970224132536474,-0.3568649865678867,0.4842885178453053,-0.4341847535256551,0.15617836929059462,5.587453162364495,-0.273803171740565,0.2797100124389068,-0.08556139938124237,-0.9270781728174097,0.4634318457648093,0.5275040238780264
TCGA-VD-A8KF-01,-0.8937038024445461,-5.3552683778405665,7.314376782975727,-1.7603953842702835,1.0073547780060776,-2.97545978020477,0.4515185779826229,0.05269497679953863,0.3379928016260051,-0.2356057708453492,-0.48279677647225716,0.3277305430164049,-0.7251749675614694,-0.3007559449347458,0.5922915494551579,0.19653683168069586
TCGA-EL-A4JZ-01,-2.1731441142349315,-0.898253373857677,-1.4366935310604587,-0.5871622814727301,0.895727174804407,-0.30408740362081116,0.43287756966456375,-0.4183964250274933,0.10337100618947341,-0.08232370177596343,-0.19569748999389133,0.2430307685037922,-0.053222651703154225,-0.4063281143832872,0.4218806425281433,0.31288992191500126
TCGA-M7-A722-01,-2.184221988114172,-0.8964516272125324,-1.4419326169468365,-0.5843871663636426,0.8656929628078314,-0.279986699927882,-2.436231583395655,-0.45392408945361323,0.2118360566963452,-0.08420573321970924,-0.21085144640585682,0.27644198668469877,-0.054558753967756,-0.3867439343296826,-4.441055908760828,-4.311425376619275
TCGA-CV-A6K0-01,4.198430147066698,-4.718707259766888,5.213827189037832,-2.6174778795483418,1.403593558577581,9.027280382102344,0.5707121998275146,-1.0879514823328593,-2.1605171697759604,-1.0399354650382604,-1.1024723019988043,0.5459588022085811,-0.9226306935455674,-0.8987438569226307,1.4680312128393043,-0.27221136631217907
TCGA-S6-A8JY-01,-3.3138348679225764,0.5824215651098905,-1.6141601524785782,4.459418335865655,-3.981844209265801,1.5424406953215457,-3.2799135299866267,-1.776026647711025,24.28432166780405,-3.107423526644563,-1.101575560719112,0.046255837173509,-0.013374392616654643,-2.9333940676535177,3.939994733783353,-4.092917513473329
TCGA-AO-A1KT-01,3.0202043968721184,0.8615881684495976,8.961999802746924,1.8978600244259067,-3.5043043738728645,2.7411738819129945,-3.167094445623394,0.017154133350265187,2.476196700177153,4.553521676842825,-1.0961355691510843,0.340415183381761,-10.920976136031472,0.30694664980707376,-0.8746435302006514,1.6368854468893232
TCGA-N9-A4Q1-01,6.474533664322718,1.148279505695523,-6.4865962597574045,2.9337305337994257,-6.368162954011959,4.103356325122547,-6.913043879767675,-1.2384568388564767,-1.453264334868422,-4.255921073281536,-1.1364576747629618,4.131922011324301,8.421600037063095,-3.200577586572251,0.36253157028748945,0.012043164592326006
TCGA-12-5299-01,-2.1466616542158223,-0.8993519000367393,-1.4390679533796285,-0.5926462935128163,-2.381615453304109,-0.2905311312983679,0.6002312024781681,-0.39647557484826046,0.17233730555830115,-0.1769755741763287,-0.3386205438374267,-7.343134522125417,-0.06837708043246865,-0.46509439452106394,0.3399227840750748,0.22179432197817028
TCGA-BJ-A0ZJ-01,-2.172365430537968,-0.8972554397721225,-1.4361446007205323,-0.5873940050930408,0.8978679198855879,-0.30671594157703735,0.6373675510396722,-0.41287817354497014,0.0972593234033219,-0.08230632902638613,-0.19386063765864836,0.2406371445521356,-0.053553617405312184,-0.4076134346185996,0.7712816851117658,0.6393969014048488
