,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16
CLCN2,0.22300291734557054,0.1299567532821783,-0.1296853388759357,-0.005866836820883615,-4.457644021636547e-07,-0.0065584169669219055,-7.575118189498234e-09,0.0019702841708668256,-2.355516921041526e-05,-0.005588304262364504,0.026325829885448886,-5.541695196472323e-06,-4.0261568069877835e-06,-3.242145124701693e-06,0.0002246481625056454,4.36705956834736e-06
RNY5P3,0.21435276153348928,0.12383326137071637,-0.11380073886723019,-1.736978100113644e-05,2.116352931596952e-06,-0.0017091919818177663,-5.4111735680575316e-08,0.002945906217098958,1.4595618058533536e-05,0.00016311214221251044,0.03666969328811429,-2.352805197384253e-06,0.0019129516141705757,6.970962160792365e-06,5.331636681793439e-05,-7.282135165685661e-05
EIF4G1,0.22303302947184567,0.13002515740603782,-0.129612096512673,-0.005757323095846409,-5.982277397551174e-08,-0.0066367873264663625,-1.3795983622582108e-08,0.0020444684516638047,-2.5226344183816673e-05,-0.005581866192677222,0.026397652395546166,-4.739226398592754e-06,-4.313666009285937e-06,-2.120968658729666e-06,0.0009055437451519246,1.1481392254027107e-05
FAM131A,0.22303302947184567,0.13002515740603782,-0.129612096512673,-0.005757323095846409,-5.982277397551174e-08,-0.0066367873264663625,-1.3795983622582108e-08,0.0020444684516638047,-2.5226344183816673e-05,-0.005581866192677222,0.026397652395546166,-4.739226398592754e-06,-4.313666009285937e-06,-2.120968658729666e-06,0.0009055437451519246,1.1481392254027107e-05
TBCCD1,0.22048902075872404,0.1293258732635746,-0.1311148014109015,-0.007460208323353841,5.1856309451705576e-06,-0.009941182036770657,6.003124648211699e-07,0.00019285077678356122,2.0634539044514003e-06,-0.00042935074350592203,9.368852365841867e-05,1.153561509513131e-07,2.807282394642853e-05,-6.640757500250708e-06,1.6610334034070283e-06,-0.0009728300991051909
FETUB,0.220237029257964,0.12944753162818418,-0.13127857022951928,-0.00702957570332688,8.407614042554004e-06,-0.010400367530272993,1.0943662964710104e-06,0.0012819227196522365,5.66585617083742e-06,-0.00015425166081490364,-0.0001704322237781052,1.660590934963039e-07,0.00018426894259154363,-1.5738764682600712e-05,5.03062172280241e-06,-0.0005549822179868485
CRYGS,0.22047682746231637,0.1293249576105469,-0.1311404874453731,-0.00746637238383319,4.9631161756489914e-06,-0.009941942640232824,6.18201922304637e-07,0.00019137812297525815,2.0764633922256713e-06,-0.0004314975427795259,0.00015395221044050707,-5.06726349170123e-09,2.813345074996077e-05,-6.808108103197418e-06,1.9405848321747845e-06,-0.0009640288456266852
MIR569,0.21449457778270856,0.12353138524709856,-0.11391042143462565,-1.567687079205162e-05,-1.190210076052913e-06,-0.0015761827418433224,2.8493486523632205e-07,0.0037150482779686822,5.11642543093878e-05,0.0009929561249855518,0.037591207182125344,-4.683293626913479e-06,0.0011449752311431581,4.678425359668374e-06,1.9138015848070844e-05,-0.00029849523383000735
RPL22L1,0.21431685121557134,0.12387171167042992,-0.1138802732909438,-2.47813771782649e-05,2.450858603761382e-06,-0.0015573443031274296,-1.2744625559754904e-07,0.002947360341087991,1.4073433075622461e-05,0.000147034382500461,0.03683968085213766,-2.3675327884008415e-06,0.0019798548105097783,5.7847672183048204e-06,4.841739798807696e-05,-8.345057076853386e-05
ECE2,0.22319918453376905,0.13012705847324257,-0.129474265029114,-0.00558526006594121,-5.960936710516471e-08,-0.006611186574497445,-7.733814398901159e-09,0.002103181739427966,-2.1189728739017322e-05,-0.005396384469969191,0.02675011832675315,-7.4365510870817685e-06,-1.8479397680366638e-06,-2.448479838025978e-06,0.0011683589902471451,1.3284646786265317e-05
EIF5A2,0.21454533527972489,0.12385178166614459,-0.11379602091445008,-3.13325789225786e-05,2.1023406172990056e-06,-0.0020128817605490883,1.3634946032141525e-07,0.0032977707597164744,2.4800322261489798e-05,0.0002794363118489584,0.03697444542219563,-4.034257890606647e-06,0.001684751322802266,4.80575323355008e-06,3.847732317994372e-05,-8.668061696555714e-05
VWA5B2,0.22317344623653373,0.13017049761722757,-0.12954138618446612,-0.005558169811387029,-9.558803237955587e-08,-0.006541303767358944,-1.1050626659420527e-08,0.00208786473997465,-2.129433443603237e-05,-0.005363724778788875,0.02657615161528803,-7.956410602881597e-06,-1.7382256041046518e-06,-3.0907718426434615e-06,0.0010359006106159102,1.2918439262075265e-05
ALG3,0.22317344623653373,0.13017049761722757,-0.12954138618446612,-0.005558169811387029,-9.558803237955587e-08,-0.006541303767358944,-1.1050626659420527e-08,0.00208786473997465,-2.129433443603237e-05,-0.005363724778788875,0.02657615161528803,-7.956410602881597e-06,-1.7382256041046518e-06,-3.0907718426434615e-06,0.0010359006106159102,1.2918439262075265e-05
MIR1224,0.22317344623653373,0.13017049761722757,-0.12954138618446612,-0.005558169811387029,-9.558803237955587e-08,-0.006541303767358944,-1.1050626659420527e-08,0.00208786473997465,-2.129433443603237e-05,-0.005363724778788875,0.02657615161528803,-7.956410602881597e-06,-1.7382256041046518e-06,-3.0907718426434615e-06,0.0010359006106159102,1.2918439262075265e-05
RN7SKP234,0.2169468295457191,0.12624274694214316,-0.11812784611730726,-0.0020294215922066453,2.655461454872411e-05,-0.00325207607573307,-2.1288176246394437e-07,0.0017332563541898544,1.143015649663392e-05,2.684402383105718e-06,0.033287312482428555,-1.2936182093914079e-06,0.0001352139857626363,-3.4653541009078817e-07,-5.208840875008785e-05,-7.029122090099641e-05
CAMK2N2,0.22318985803267344,0.1301901515625822,-0.12956490267970788,-0.005667399361860751,-1.629878889144159e-07,-0.0066023650886742336,-4.376492604442457e-08,0.002100161524970495,-2.5015668993965558e-05,-0.00530362241634222,0.026458795705435037,-9.091304636339488e-06,-4.412490909915808e-06,-3.84448775356784e-06,0.0008923348430043762,1.0124351055814582e-05
SNORD66|ENSG00000212158.1,0.22318968050029206,0.13015200822051645,-0.1295671385781985,-0.00571521860921068,-7.848061495224656e-08,-0.006686449271803283,-3.3591784673883436e-08,0.0020885662499527252,-2.5210194572267702e-05,-0.00547759053705434,0.026514205781014138,-7.964506532296264e-06,-4.460786083859e-06,-1.7343111515777459e-06,0.0010829502892350086,1.1142311319521379e-05
PSMD2,0.2232114372028619,0.13015069215116848,-0.12953101968846825,-0.005702437547537695,-2.502786312646785e-07,-0.006675183374513015,-3.586428576134988e-08,0.0021038597462078833,-2.490989378662872e-05,-0.005342822687206185,0.026618795757937085,-8.472880880424667e-06,-4.648201510293911e-06,-3.1751379669975826e-06,0.0010432713721369316,1.0524427276852195e-05
