gene,modality,total_contrib,max_contrib,n_factors,directions,role,pathway,tx_mechanism,actionable
TPO,expression,0.02081469071960185,0.02081469071960185,1,up,Unknown,Unknown,Under investigation,Partial
TMPRSS2,expression,0.02080837370068519,0.02080837370068519,1,up,Unknown,Unknown,Under investigation,Partial
CST6,expression,0.02077332803984536,0.02077332803984536,1,up,Unknown,Unknown,Under investigation,Partial
C1orf116,expression,0.020393474981649704,0.020393474981649704,1,up,Unknown,Unknown,Under investigation,Partial
LIPH,expression,0.020306681593899638,0.020306681593899638,1,up,Unknown,Unknown,Under investigation,Partial
RAB25,expression,0.020184020346672223,0.020184020346672223,1,up,Unknown,Unknown,Under investigation,Partial
EMX2,expression,0.01997061885468088,0.01997061885468088,1,down,Unknown,Unknown,Under investigation,Partial
TMEM45B,expression,0.019961324768598656,0.019961324768598656,1,up,Unknown,Unknown,Under investigation,Partial
KLK10,expression,0.01970631555711108,0.01970631555711108,1,up,Unknown,Unknown,Under investigation,Partial
ADGRF1,expression,0.01969298784030748,0.01969298784030748,1,up,Unknown,Unknown,Under investigation,Partial
MUC15,expression,0.019644948521896233,0.019644948521896233,1,up,Unknown,Unknown,Under investigation,Partial
PRSS22,expression,0.019569687223217107,0.019569687223217107,1,up,Unknown,Unknown,Under investigation,Partial
CDH1,expression,0.01954676035879816,0.01954676035879816,1,up,Unknown,Unknown,Under investigation,Partial
LRRC15,expression,0.019467838193191252,0.019467838193191252,1,down,Unknown,Unknown,Under investigation,Partial
CA12,expression,0.019316634260784966,0.019316634260784966,1,down,Unknown,Unknown,Under investigation,Partial
NKX2-1,expression,0.019272186919895722,0.019272186919895722,1,up,Unknown,Unknown,Under investigation,Partial
PRLR,expression,0.018845072873195708,0.018845072873195708,1,down,Unknown,Unknown,Under investigation,Partial
PIP,expression,0.018756067332497676,0.018756067332497676,1,down,Unknown,Unknown,Under investigation,Partial
MUC1,expression,0.018501697080719116,0.018501697080719116,1,down,Unknown,Unknown,Under investigation,Partial
