gene,abs_weight,raw_weight,direction,modality,factor,factor_avg_shap,gene_shap_contrib
PIP,0.1566341527527298,-0.1566341527527298,down,expression,Factor15,0.11974442995268668,0.018756067332497676
MUC1,0.1545098764763379,-0.1545098764763379,down,expression,Factor15,0.11974442995268668,0.018501697080719116
TFF1,0.1521746077876591,-0.1521746077876591,down,expression,Factor15,0.11974442995268668,0.018222061662806915
GATA3,0.1495800700743777,-0.1495800700743777,down,expression,Factor15,0.11974442995268668,0.017911380223339286
AGR3,0.1484781382486344,-0.1484781382486344,down,expression,Factor15,0.11974442995268668,0.01777943002501893
KLK2,0.1463300012104809,0.1463300012104809,up,expression,Factor15,0.11974442995268668,0.017522202579924987
CAPN8,0.1462724794318919,-0.1462724794318919,down,expression,Factor15,0.11974442995268668,0.01751531466733798
B3GAT1,0.1421879931280866,0.1421879931280866,up,expression,Factor15,0.11974442995268668,0.017026220183239262
NPY,0.1411414545125373,0.1411414545125373,up,expression,Factor15,0.11974442995268668,0.016900903013296834
MYB,0.1377960507288827,-0.1377960507288827,down,expression,Factor15,0.11974442995268668,0.016500309544261557
TMPRSS3,0.1367392373180511,-0.1367392373180511,down,expression,Factor15,0.11974442995268668,0.01637376202481517
COL10A1,0.1361501425746047,-0.1361501425746047,down,expression,Factor15,0.11974442995268668,0.016303221210573055
COL11A1,0.1357646218484987,-0.1357646218484987,down,expression,Factor15,0.11974442995268668,0.016257057250990546
POSTN,0.1351825626859683,-0.1351825626859683,down,expression,Factor15,0.11974442995268668,0.016187358908374607
PRR15,0.1343453279707441,-0.1343453279707441,down,expression,Factor15,0.11974442995268668,0.016087104714663486
AREG,0.1340959679232296,-0.1340959679232296,down,expression,Factor15,0.11974442995268668,0.016057245237920886
GPRC5A,0.1327826954039689,-0.1327826954039689,down,expression,Factor15,0.11974442995268668,0.015899988168729486
KLK3,0.1310204268902687,0.1310204268902687,up,expression,Factor15,0.11974442995268668,0.015688966330132885
OGDHL,0.1307951096528065,0.1307951096528065,up,expression,Factor15,0.11974442995268668,0.01566198584597446
S100A14,0.1305344938513727,-0.1305344938513727,down,expression,Factor15,0.11974442995268668,0.015630778555395106
MFAP5,0.1297151035560251,-0.1297151035560251,down,expression,Factor15,0.11974442995268668,0.015532661131569947
PIK3CA,0.1365608693910238,-0.1365608693910238,down,expression,Factor15,0.11974442995268668,0.016352403459071442
KRAS,0.0003355073347031,-0.0003355073347031,down,expression,Factor15,0.11974442995268668,4.0175134538967966e-05
IDH1,0.0003011142511996,0.0003011142511996,up,expression,Factor15,0.11974442995268668,3.605675436052621e-05
OBSCN,3.1650892785767485e-05,-3.1650892785767485e-05,down,expression,Factor15,0.11974442995268668,3.790018114125331e-06
TP53,1.126954728621874e-05,-1.126954728621874e-05,down,expression,Factor15,0.11974442995268668,1.34946551561311e-06
KMT2C,1.0881699891710562e-05,-1.0881699891710562e-05,down,expression,Factor15,0.11974442995268668,1.3030229504490936e-06
ARID1A,1.0227807858977602e-05,-1.0227807858977602e-05,down,expression,Factor15,0.11974442995268668,1.2247230217388817e-06
NEB,8.517733053418551e-06,-8.517733053418551e-06,down,expression,Factor15,0.11974442995268668,1.0199510889707618e-06
PTEN,8.342279664659046e-06,-8.342279664659046e-06,down,expression,Factor15,0.11974442995268668,9.989415229504878e-07
DNAH5,6.888697385111258e-06,-6.888697385111258e-06,down,expression,Factor15,0.11974442995268668,8.248831414967109e-07
MUC5B,6.519567407972941e-06,-6.519567407972941e-06,down,expression,Factor15,0.11974442995268668,7.806818828058349e-07
KMT2B,5.472354057175478e-06,-5.472354057175478e-06,down,expression,Factor15,0.11974442995268668,6.552839170757498e-07
BRAF,5.071432384390744e-06,5.071432384390744e-06,up,expression,Factor15,0.11974442995268668,6.072757799124642e-07
ATRX,4.784271772062607e-06,4.784271772062607e-06,up,expression,Factor15,0.11974442995268668,5.728898960843671e-07
SPAG17,4.465402846164432e-06,-4.465402846164432e-06,down,expression,Factor15,0.11974442995268668,5.347071183230645e-07
DMD,4.125641558930674e-06,-4.125641558930674e-06,down,expression,Factor15,0.11974442995268668,4.940225966632672e-07
FBXW7,4.020092070178227e-06,-4.020092070178227e-06,down,expression,Factor15,0.11974442995268668,4.813836333008079e-07
SPEN,3.905005860730698e-06,-3.905005860730698e-06,down,expression,Factor15,0.11974442995268668,4.67602700755098e-07
MDN1,3.792384455631332e-06,-3.792384455631332e-06,down,expression,Factor15,0.11974442995268668,4.541169148010039e-07
NCOR1,3.520129080589449e-06,-3.520129080589449e-06,down,expression,Factor15,0.11974442995268668,4.2151585011505864e-07
ANK3,3.509328154590285e-06,-3.509328154590285e-06,down,expression,Factor15,0.11974442995268668,4.2022249938832755e-07
RNF213,3.463405828482633e-06,-3.463405828482633e-06,down,expression,Factor15,0.11974442995268668,4.1472355662646544e-07
DCHS1,3.358402772962e-06,-3.358402772962e-06,down,expression,Factor15,0.11974442995268668,4.0215002559985695e-07
SYNE2,3.2602749693724066e-06,-3.2602749693724066e-06,down,expression,Factor15,0.11974442995268668,3.9039976769651186e-07
VWF,2.9799810933300267e-06,-2.9799810933300267e-06,down,expression,Factor15,0.11974442995268668,3.56836137290588e-07
LINC00454,0.208777558942801,0.208777558942801,up,expression,Factor15,0.11974442995268668,0.02499994978251915
MIR548AR,0.2086949008170623,0.2086949008170623,up,expression,Factor15,0.11974442995268668,0.02499005193237161
MIR4502,0.2086949008170623,0.2086949008170623,up,expression,Factor15,0.11974442995268668,0.02499005193237161
CDC16,0.2086949008170623,0.2086949008170623,up,expression,Factor15,0.11974442995268668,0.02499005193237161
CHAMP1,0.2086949008170623,0.2086949008170623,up,expression,Factor15,0.11974442995268668,0.02499005193237161
UPF3A,0.2086949008170623,0.2086949008170623,up,expression,Factor15,0.11974442995268668,0.02499005193237161
